고유번호,구명,품계수종,수고,관리등급,위치,환경영향,전정,도로길이,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,현존유무,관리기관,피해정도,주변토지사용상태,방재,관리방안,수목고유번호,차선수,보호덮개,가로명,가치등급,품계흉고,수목명,경도,위도
7560,중구,4,6,1, ,0.00E+00, ,0.00E+00,2,2,43,8,20,12,6,0,공원녹지과,2,0,2010. 진딧물 방제,0.00E+00,2-청계천로-가-0044,0.00E+00,1,청계천로,0.00E+00,12,느티나무,127.000182,37.5691291
7561,중구,8,17,1,방산시장,0.00E+00, ,0.00E+00,2,2,218,8,31,12,6,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0220,0.00E+00,1,훈련원로,0.00E+00,9,은행나무,127.0019852,37.5684723
7562,중구,8,8,2,동국대,0.00E+00, ,0.00E+00,2,2,1,8,15,12,6,0,공원녹지과,2,0,2010. 진딧물 및 흰불나방 등 지상방제,0.00E+00,2-장춘단길-가-0065,0.00E+00,1,장춘단길,0.00E+00,3,회화나무,127.0029002,37.555328
7563,중구,8,13,1,신안빌딩,0.00E+00, ,0.00E+00,2,2,330,8,21,12,7,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0332,0.00E+00,1,훈련원로,0.00E+00,6,은행나무,127.0025643,37.5619941
7564,중구,8,17,2,장충단길,0.00E+00, ,0.00E+00,2,1,129,8,24,9,7,0,공원녹지과,2,0, ,0.00E+00,2-장춘단길-가-0138,0.00E+00,1,장춘단길,0.00E+00,6,은행나무,127.0010442,37.5516952
7565,중구,8,10,1,신한은행,0.00E+00, ,0.00E+00,2,2,394,8,25,12,5,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-태평로-가-0394,0.00E+00,1,태평로,0.00E+00,6,소나무,126.9749153,37.5607596
7566,중구,8,28,1,삼성전자입구,0.00E+00, ,0.00E+00,2,2,130,8,50,12,16,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0130,0.00E+00,1,훈련원로,0.00E+00,12,은행나무,127.0029649,37.5630266
7567,중구,8,17,1,다등빌딩,0.00E+00, ,0.00E+00,2,2,201,8,27,12,8,0,공원녹지과,2,0, ,0.00E+00,2-남대문로-가-0207,0.00E+00,1,남대문로,0.00E+00,6,은행나무,126.9825054,37.5681228
7568,중구,8,13,2,서울역,0.00E+00, ,0.00E+00,2,2,41,4,30,12,6,0,공원녹지과,1,0, ,0.00E+00,2-청파로-가-0064,0.00E+00,1,청파로,0.00E+00,6,은행나무,126.9694867,37.5590562
7569,중구,4,3.5,1,극동빌딩,0.00E+00, ,1400,2,2,1,8,12,12,3,0,공원녹지과,2,0, ,0.00E+00,2-수표다릿길-가-0007,0.00E+00,1,수표다릿길,0.00E+00,0.00E+00,이팝나무,126.9905652,37.5617463
7854,중구, ,0.00E+00,0.00E+00, ,0.00E+00, ,0.00E+00, , ,0.00E+00,0.00E+00,0.00E+00, ,0.00E+00, , ,0.00E+00, ,2010. 흡즙성및천공성 해충종합방제,0.00E+00, ,0.00E+00,0.00E+00, ,0.00E+00,0.00E+00, , , 
