고유번호,구명,품계수종,수고,관리등급,위치,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,관리기관,수목고유번호,보호덮개,가로명,품계흉고,수목명,경도,위도,피해정도
1926,중구,8,15,1,한국프뢰벨,2,2,102,8,39,12,12,공원녹지과,2-동호로-가-0102,1,동호로,9,은행나무,127.0092169,37.5571265,2
1927,중구,8,17,2,한국은행,2,2,66,8,30,9,10,공원녹지과,2-소공길-가-0066,1,소공길,6,은행나무,126.9809657,37.5621488,2
1928,중구,8,10,1,광도여행사,2,2,275,8,25,12,13,공원녹지과,2-을지로-가-0275,1,을지로,6,느티나무,126.9809309,37.5661726,2
1929,중구,8,16,1,우리은행,2,2,378,8,41,12,10,공원녹지과,2-남대문로-가-0360,1,남대문로,9,은행나무,126.9729579,37.5578488,2
1930,중구,8,10,2,소피텔,2,2,371,6,25,12,6,공원녹지과,2-훈련원로-가-0373,1,훈련원로,6,은행나무,127.0027153,37.5600704,1
1931,중구,8,15,1,서울역,2,2,9,8,23,12,9,공원녹지과,2-의주로-가-0009,1,의주로,6,은행나무,126.9720196,37.5579354,2
1932,중구,8,16,1,서울역,2,2,14,8,36,12,8,공원녹지과,2-의주로-가-0014,1,의주로,9,은행나무,126.9719105,37.5583772,2
1933,중구,8,19,2,장춘단길,2,1,104,8,20,9,10,공원녹지과,2-장춘단길-가-0113,1,장춘단길,3,은행나무,127.0023365,37.553167,2
1934,중구,8,15,2,남산,2,2,91,6,30,9,9,공원녹지과,2-소파길-가-0091,1,소파길,6,은행나무,126.9823763,37.5546232,2
1935,중구,8,15,1,광신교효,2,2,73,8,24,12,8,공원녹지과,2-훈련원로-가-0073,1,훈련원로,6,은행나무,127.0030164,37.5607462,2
1936,중구,8,17,2,명신의원,2,2,95,8,23,9,9,공원녹지과,2-다산로-가-0095,1,다산로,6,은행나무,127.0086651,37.5522129,2
1937,중구,8,22,2,하나아트나염,2,1,112,8,36,6,9,공원녹지과,2-금호동길-가-0112,1,금호동길,9,은행나무,127.0105253,37.5618382,2
2098,중구,8,10,1,하나은행,2,2,175,8,27,12,8,공원녹지과,2-홍인문로-가-0170,1,홍인문로,6,은행나무,127.0066967,37.5624188,2
2099,중구,8,16,1,경찰서,2,2,63,8,33,9,7,공원녹지과,2-마장로-가-0063,1,마장로,9,은행나무,127.0151125,37.5681095,2
2100,중구,8,6,2, ,2,2,56,8,12,6,6,공원녹지과,2-서애길-가-0056,1,서애길,3,왕벚나무,126.9957186,37.5570538,0.00E+00
